UTMX;UTMY;cat;altitude;wetland_cost;goat_cost;geology_cost;hydrology_cost;lcp_cost;eucl_dist_geo;eucl_dist_hydro;dif_ins;dir_ins;tot_ins;aspect;slope;vis_prom;tpi100;tpi500;tpi1000;wind
626846.14;4707347.44;59;378.00;584.00;9356.34;0.00;1283.70;1552.05;0.00;340.04;0.87;3.17;4.04;15.26;3.26;38.00;-0.69;-3.70;-12.66;1.09
629226.11;4707720.44;60;443.00;1279.86;2959.85;0.00;5245.05;141.00;0.00;1654.73;0.88;3.27;4.15;330.95;2.95;40.00;0.90;1.69;-16.21;1.16
626714.14;4708316.43;61;354.00;134.00;10274.98;0.00;990.88;1932.47;0.00;282.84;0.86;3.27;4.13;18.43;1.81;36.00;-0.02;0.44;-4.95;1.02
626672.14;4708809.43;62;345.00;74.00;11058.55;0.00;308.88;1302.41;0.00;79.06;0.86;3.34;4.20;26.57;1.28;33.00;0.14;-8.53;-8.09;0.99
624219.17;4705510.47;63;365.00;326.50;3222.91;3732.88;2304.75;1104.76;1125.00;640.80;0.87;3.27;4.13;333.43;2.56;25.00;1.90;3.93;-2.17;1.11
624499.17;4710794.4;64;311.00;162.17;4345.22;1590.65;636.86;386.15;400.78;175.00;0.86;3.44;4.30;243.44;1.28;42.00;-0.65;-0.92;-4.49;0.84
625843.15;4710385.41;65;322.00;319.76;6678.31;0.00;478.21;1492.67;0.00;70.71;0.86;3.35;4.21;18.43;0.91;23.00;-1.20;-8.99;-4.05;0.88
624206.17;4712511.38;66;308.00;279.00;1606.99;884.84;503.98;180.66;265.75;90.14;0.86;3.42;4.28;225.00;0.41;15.00;-0.02;-7.34;-34.25;0.82
626355.15;4709705.42;67;331.00;155.50;9368.52;0.00;217.91;257.00;0.00;25.00;0.86;3.26;4.12;351.87;2.02;38.00;-0.57;-4.17;-5.49;0.86
623274.19;4713443.37;68;339.00;868.95;4561.31;0.00;662.06;259.11;0.00;134.63;0.85;3.10;3.96;74.74;12.85;25.00;3.65;-1.28;-9.09;0.81
626676.14;4710706.4;69;335.00;0.00;6704.90;1163.21;2354.31;180.15;430.12;600.52;0.86;3.62;4.48;213.69;2.06;51.00;-0.10;-1.07;-5.35;0.87
627104.14;4710805.4;70;346.00;505.05;7427.24;330.00;2757.33;86.00;125.00;728.87;0.86;3.79;4.65;183.81;4.30;35.00;-1.08;-0.52;-7.17;0.86
623711.18;4706626.45;71;335.00;587.87;6817.73;74.00;586.50;1596.12;25.00;150.00;0.86;3.17;4.03;348.69;2.92;43.00;1.78;6.94;-0.59;1.06
625050.16;4707183.45;72;351.00;289.50;8051.33;0.00;3648.18;217.66;0.00;1073.84;0.86;3.36;4.22;315.00;1.22;28.00;0.35;-0.39;-1.17;1.05
624931.16;4707085.45;73;352.00;0.00;7774.10;164.17;3156.59;152.81;55.90;919.24;0.86;3.26;4.13;26.57;2.56;22.00;-1.24;1.58;0.63;1.05
623571.18;4711372.4;74;310.00;74.00;4420.47;1061.39;1202.36;49.00;390.51;403.11;0.86;3.53;4.39;243.44;1.28;38.00;-0.10;-1.22;0.77;0.86
625593.16;4712766.38;75;319.00;0.00;1290.11;0.00;1986.86;483.88;0.00;250.00;0.86;3.43;4.29;270.00;2.29;4.00;-1.27;-23.60;-56.79;0.81
624394.17;4710179.41;76;309.00;86.50;6601.74;0.00;1924.81;1439.51;0.00;450.00;0.86;3.35;4.21;315.00;1.22;38.00;0.41;-4.31;-2.84;0.88
